"number","Title","cluster"
"1","Toy Story (1995)",2
"2","GoldenEye (1995)",4
"3","Four Rooms (1995)",6
"4","Get Shorty (1995)",1
"5","Copycat (1995)",6
"6","Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)",3
"7","Twelve Monkeys (1995)",3
"8","Babe (1995)",2
"9","Dead Man Walking (1995)",3
"10","Richard III (1995)",3
"11","Seven (Se7en) (1995)",6
"12","Usual Suspects, The (1995)",6
"13","Mighty Aphrodite (1995)",1
"14","Postino, Il (1994)",3
"15","Mr. Holland's Opus (1995)",3
"16","French Twist (Gazon maudit) (1995)",1
"17","From Dusk Till Dawn (1996)",4
"18","White Balloon, The (1995)",3
"19","Antonia's Line (1995)",3
"20","Angels and Insects (1995)",3
"21","Muppet Treasure Island (1996)",4
"22","Braveheart (1995)",3
"23","Taxi Driver (1976)",6
"24","Rumble in the Bronx (1995)",4
"25","Birdcage, The (1996)",1
"26","Brothers McMullen, The (1995)",1
"27","Bad Boys (1995)",4
"28","Apollo 13 (1995)",6
"29","Batman Forever (1995)",4
"30","Belle de jour (1967)",3
"31","Crimson Tide (1995)",6
"32","Crumb (1994)",5
"33","Desperado (1995)",4
"34","Doom Generation, The (1995)",1
"35","Free Willy 2: The Adventure Home (1995)",2
"36","Mad Love (1995)",3
"37","Nadja (1994)",3
"38","Net, The (1995)",6
"39","Strange Days (1995)",4
"40","To Wong Foo, Thanks for Everything! Julie Newmar (1995)",1
"41","Billy Madison (1995)",1
"42","Clerks (1994)",1
"43","Disclosure (1994)",6
"44","Dolores Claiborne (1994)",6
"45","Eat Drink Man Woman (1994)",1
"46","Exotica (1994)",3
"47","Ed Wood (1994)",1
"48","Hoop Dreams (1994)",5
"49","I.Q. (1994)",1
"50","Star Wars (1977)",4
"51","Legends of the Fall (1994)",3
"52","Madness of King George, The (1994)",3
"53","Natural Born Killers (1994)",4
"54","Outbreak (1995)",6
"55","Professional, The (1994)",6
"56","Pulp Fiction (1994)",3
"57","Priest (1994)",3
"58","Quiz Show (1994)",3
"59","Three Colors: Red (1994)",3
"60","Three Colors: Blue (1993)",3
"61","Three Colors: White (1994)",3
"62","Stargate (1994)",4
"63","Santa Clause, The (1994)",2
"64","Shawshank Redemption, The (1994)",3
"65","What's Eating Gilbert Grape (1993)",1
"66","While You Were Sleeping (1995)",1
"67","Ace Ventura: Pet Detective (1994)",1
"68","Crow, The (1994)",4
"69","Forrest Gump (1994)",1
"70","Four Weddings and a Funeral (1994)",1
"71","Lion King, The (1994)",2
"72","Mask, The (1994)",1
"73","Maverick (1994)",1
"74","Faster Pussycat! Kill! Kill! (1965)",1
"75","Brother Minister: The Assassination of Malcolm X (1994)",5
"76","Carlito's Way (1993)",3
"77","Firm, The (1993)",6
"78","Free Willy (1993)",2
"79","Fugitive, The (1993)",4
"80","Hot Shots! Part Deux (1993)",1
"81","Hudsucker Proxy, The (1994)",1
"82","Jurassic Park (1993)",4
"83","Much Ado About Nothing (1993)",1
"84","Robert A. Heinlein's The Puppet Masters (1994)",5
"85","Ref, The (1994)",1
"86","Remains of the Day, The (1993)",3
"87","Searching for Bobby Fischer (1993)",3
"88","Sleepless in Seattle (1993)",1
"89","Blade Runner (1982)",5
"90","So I Married an Axe Murderer (1993)",1
"91","Nightmare Before Christmas, The (1993)",2
"92","True Romance (1993)",4
"93","Welcome to the Dollhouse (1995)",1
"94","Home Alone (1990)",2
"95","Aladdin (1992)",2
"96","Terminator 2: Judgment Day (1991)",4
"97","Dances with Wolves (1990)",3
"98","Silence of the Lambs, The (1991)",6
"99","Snow White and the Seven Dwarfs (1937)",2
"100","Fargo (1996)",6
"101","Heavy Metal (1981)",4
"102","Aristocats, The (1970)",2
"103","All Dogs Go to Heaven 2 (1996)",2
"104","Theodore Rex (1995)",1
"105","Sgt. Bilko (1996)",1
"106","Diabolique (1996)",6
"107","Moll Flanders (1996)",3
"108","Kids in the Hall: Brain Candy (1996)",1
"109","Mystery Science Theater 3000: The Movie (1996)",1
"110","Operation Dumbo Drop (1995)",4
"111","Truth About Cats & Dogs, The (1996)",1
"112","Flipper (1996)",2
"113","Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",3
"114","Wallace & Gromit: The Best of Aardman Animation (1996)",5
"115","Haunted World of Edward D. Wood Jr., The (1995)",5
"116","Cold Comfort Farm (1995)",1
"117","Rock, The (1996)",4
"118","Twister (1996)",4
"119","Maya Lin: A Strong Clear Vision (1994)",5
"120","Striptease (1996)",1
"121","Independence Day (ID4) (1996)",4
"122","Cable Guy, The (1996)",1
"123","Frighteners, The (1996)",1
"124","Lone Star (1996)",3
"125","Phenomenon (1996)",3
"126","Spitfire Grill, The (1996)",3
"127","Godfather, The (1972)",3
"128","Supercop (1992)",4
"129","Bound (1996)",6
"130","Kansas City (1996)",5
"131","Breakfast at Tiffany's (1961)",3
"132","Wizard of Oz, The (1939)",2
"133","Gone with the Wind (1939)",3
"134","Citizen Kane (1941)",3
"135","2001: A Space Odyssey (1968)",6
"136","Mr. Smith Goes to Washington (1939)",3
"137","Big Night (1996)",3
"138","D3: The Mighty Ducks (1996)",2
"139","Love Bug, The (1969)",2
"140","Homeward Bound: The Incredible Journey (1993)",2
"141","20,000 Leagues Under the Sea (1954)",2
"142","Bedknobs and Broomsticks (1971)",2
"143","Sound of Music, The (1965)",5
"144","Die Hard (1988)",4
"145","Lawnmower Man, The (1992)",4
"146","Unhook the Stars (1996)",3
"147","Long Kiss Goodnight, The (1996)",4
"148","Ghost and the Darkness, The (1996)",4
"149","Jude (1996)",3
"150","Swingers (1996)",1
"151","Willy Wonka and the Chocolate Factory (1971)",2
"152","Sleeper (1973)",1
"153","Fish Called Wanda, A (1988)",1
"154","Monty Python's Life of Brian (1979)",1
"155","Dirty Dancing (1987)",5
"156","Reservoir Dogs (1992)",6
"157","Platoon (1986)",3
"158","Weekend at Bernie's (1989)",1
"159","Basic Instinct (1992)",6
"160","Glengarry Glen Ross (1992)",3
"161","Top Gun (1986)",4
"162","On Golden Pond (1981)",3
"163","Return of the Pink Panther, The (1974)",1
"164","Abyss, The (1989)",4
"165","Jean de Florette (1986)",3
"166","Manon of the Spring (Manon des sources) (1986)",3
"167","Private Benjamin (1980)",1
"168","Monty Python and the Holy Grail (1974)",1
"169","Wrong Trousers, The (1993)",1
"170","Cinema Paradiso (1988)",1
"171","Delicatessen (1991)",1
"172","Empire Strikes Back, The (1980)",4
"173","Princess Bride, The (1987)",4
"174","Raiders of the Lost Ark (1981)",4
"175","Brazil (1985)",5
"176","Aliens (1986)",4
"177","Good, The Bad and The Ugly, The (1966)",4
"178","12 Angry Men (1957)",3
"179","Clockwork Orange, A (1971)",5
"180","Apocalypse Now (1979)",3
"181","Return of the Jedi (1983)",4
"182","GoodFellas (1990)",3
"183","Alien (1979)",4
"184","Army of Darkness (1993)",4
"185","Psycho (1960)",6
"186","Blues Brothers, The (1980)",1
"187","Godfather: Part II, The (1974)",3
"188","Full Metal Jacket (1987)",3
"189","Grand Day Out, A (1992)",1
"190","Henry V (1989)",3
"191","Amadeus (1984)",3
"192","Raging Bull (1980)",3
"193","Right Stuff, The (1983)",3
"194","Sting, The (1973)",1
"195","Terminator, The (1984)",4
"196","Dead Poets Society (1989)",3
"197","Graduate, The (1967)",3
"198","Nikita (La Femme Nikita) (1990)",6
"199","Bridge on the River Kwai, The (1957)",3
"200","Shining, The (1980)",5
"201","Evil Dead II (1987)",4
"202","Groundhog Day (1993)",1
"203","Unforgiven (1992)",5
"204","Back to the Future (1985)",1
"205","Patton (1970)",3
"206","Akira (1988)",6
"207","Cyrano de Bergerac (1990)",3
"208","Young Frankenstein (1974)",1
"209","This Is Spinal Tap (1984)",1
"210","Indiana Jones and the Last Crusade (1989)",4
"211","M*A*S*H (1970)",1
"212","Unbearable Lightness of Being, The (1988)",3
"213","Room with a View, A (1986)",3
"214","Pink Floyd - The Wall (1982)",3
"215","Field of Dreams (1989)",3
"216","When Harry Met Sally... (1989)",1
"217","Bram Stoker's Dracula (1992)",5
"218","Cape Fear (1991)",6
"219","Nightmare on Elm Street, A (1984)",5
"220","Mirror Has Two Faces, The (1996)",1
"221","Breaking the Waves (1996)",3
"222","Star Trek: First Contact (1996)",4
"223","Sling Blade (1996)",6
"224","Ridicule (1996)",3
"225","101 Dalmatians (1996)",2
"226","Die Hard 2 (1990)",4
"227","Star Trek VI: The Undiscovered Country (1991)",4
"228","Star Trek: The Wrath of Khan (1982)",4
"229","Star Trek III: The Search for Spock (1984)",4
"230","Star Trek IV: The Voyage Home (1986)",4
"231","Batman Returns (1992)",4
"232","Young Guns (1988)",1
"233","Under Siege (1992)",4
"234","Jaws (1975)",4
"235","Mars Attacks! (1996)",4
"236","Citizen Ruth (1996)",1
"237","Jerry Maguire (1996)",3
"238","Raising Arizona (1987)",1
"239","Sneakers (1992)",3
"240","Beavis and Butt-head Do America (1996)",1
"241","Last of the Mohicans, The (1992)",4
"242","Kolya (1996)",1
"243","Jungle2Jungle (1997)",2
"244","Smilla's Sense of Snow (1997)",6
"245","Devil's Own, The (1997)",6
"246","Chasing Amy (1997)",3
"247","Turbo: A Power Rangers Movie (1997)",2
"248","Grosse Pointe Blank (1997)",1
"249","Austin Powers: International Man of Mystery (1997)",1
"250","Fifth Element, The (1997)",4
"251","Shall We Dance? (1996)",1
"252","Lost World: Jurassic Park, The (1997)",4
"253","Pillow Book, The (1995)",3
"254","Batman & Robin (1997)",4
"255","My Best Friend's Wedding (1997)",1
"256","When the Cats Away (Chacun cherche son chat) (1996)",1
"257","Men in Black (1997)",4
"258","Contact (1997)",3
"259","George of the Jungle (1997)",2
"260","Event Horizon (1997)",4
"261","Air Bud (1997)",2
"262","In the Company of Men (1997)",3
"263","Steel (1997)",4
"264","Mimic (1997)",6
"265","Hunt for Red October, The (1990)",4
"266","Kull the Conqueror (1997)",4
"267","unknown",5
"268","Chasing Amy (1997)",3
"269","Full Monty, The (1997)",1
"270","Gattaca (1997)",6
"271","Starship Troopers (1997)",4
"272","Good Will Hunting (1997)",3
"273","Heat (1995)",4
"274","Sabrina (1995)",1
"275","Sense and Sensibility (1995)",3
"276","Leaving Las Vegas (1995)",3
"277","Restoration (1995)",3
"278","Bed of Roses (1996)",3
"279","Once Upon a Time... When We Were Colored (1995)",3
"280","Up Close and Personal (1996)",3
"281","River Wild, The (1994)",4
"282","Time to Kill, A (1996)",3
"283","Emma (1996)",3
"284","Tin Cup (1996)",1
"285","Secrets & Lies (1996)",3
"286","English Patient, The (1996)",3
"287","Marvin's Room (1996)",3
"288","Scream (1996)",6
"289","Evita (1996)",3
"290","Fierce Creatures (1997)",1
"291","Absolute Power (1997)",6
"292","Rosewood (1997)",3
"293","Donnie Brasco (1997)",3
"294","Liar Liar (1997)",1
"295","Breakdown (1997)",4
"296","Promesse, La (1996)",3
"297","Ulee's Gold (1997)",3
"298","Face/Off (1997)",4
"299","Hoodlum (1997)",3
"300","Air Force One (1997)",4
"301","In & Out (1997)",1
"302","L.A. Confidential (1997)",6
"303","Ulee's Gold (1997)",3
"304","Fly Away Home (1996)",2
"305","Ice Storm, The (1997)",3
"306","Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",3
"307","Devil's Advocate, The (1997)",6
"308","FairyTale: A True Story (1997)",3
"309","Deceiver (1997)",5
"310","Rainmaker, The (1997)",3
"311","Wings of the Dove, The (1997)",6
"312","Midnight in the Garden of Good and Evil (1997)",1
"313","Titanic (1997)",3
"314","3 Ninjas: High Noon At Mega Mountain (1998)",2
"315","Apt Pupil (1998)",6
"316","As Good As It Gets (1997)",1
